Priority	2dda7p[c]	e4p[c]	pep[c]	pi[c]	param_DDPA_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	1	0.00005849999999999994	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\relRateFor_pep.txt"	0.909090909090909
1	0	1	1	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\absRateFor.txt"	88.58292700613057
1	0	1	1	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\absRateFor.txt"	88.58292700613057
1	0	1	1	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\absRateFor.txt"	88.58292700613057
1	0	1	1	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\absRateFor.txt"	88.58292700613057
1	0	1	1	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\absRateFor.txt"	88.58292700613057
1	0	1	1	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\absRateFor.txt"	88.58292700613057
1	0	1	1	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\absRateFor.txt"	88.58292700613057
1	0	1	1	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\absRateFor.txt"	88.58292700613057
1	0	1	1	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\absRateFor.txt"	88.58292700613057
1	0	1	1	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\absRateFor.txt"	88.58292700613057
1	0	1	1	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\absRateFor.txt"	88.58292700613057
1	0	1	1	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\absRateFor.txt"	122.
1	0	1	1	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\absRateFor.txt"	122.
1	0	1	1	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\absRateFor.txt"	122.
1	0	1	1	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\absRateFor.txt"	122.
1	0	1	1	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\absRateFor.txt"	122.
1	0	1	1	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\absRateFor.txt"	122.
1	0	1	1	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\absRateFor.txt"	122.
1	0	1	1	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\absRateFor.txt"	122.
1	0	1	1	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\absRateFor.txt"	122.
1	0	1	1	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\absRateFor.txt"	122.
1	0	1	1	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\absRateFor.txt"	122.
