Entry ID,Recommended Enzyme Name,Reaction ID,Enzymatic Activity,EC Number,Gene,Organism,Strain/Tissue,Reaction,Cofactor,Cofactor Concentration,Substrate,Value Type,Value,Deviation,Units,Structure,Regulation,Regulation Mechanism,pH,Temp (øC),Buffer/Media,Uniprot,References,Data Point,Notes
11,phosphoribosylanthranilate isomerase,,,5.3.1.24,,Escherichia coli,,N-(5-phospho-beta-D-ribosyl)anthranilate <=> 1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,,,N-(5-phospho-beta-D-ribosyl)anthranilate,kcat,40,,1/s,,,,,25,,,RF1,,
12,phosphoribosylanthranilate isomerase,,,5.3.1.24,,Escherichia coli,,N-(5-phospho-beta-D-ribosyl)anthranilate <=> 1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,,,N-(5-phospho-beta-D-ribosyl)anthranilate,kcat,40,,1/s,,,,,,,,RF3,,bifunctional IGPS:PRAI
13,phosphoribosylanthranilate isomerase,,,5.3.1.24,,Escherichia coli,,N-(5-phospho-beta-D-ribosyl)anthranilate <=> 1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,,,N-(5-phospho-beta-D-ribosyl)anthranilate,kcat,40,,1/s,,,,7.5,25,,,RF2,,bifunctional IGPS:PRAI;
14,phosphoribosylanthranilate isomerase,,,5.3.1.24,,Escherichia coli,,N-(5-phospho-beta-D-ribosyl)anthranilate <=> 1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,,,N-(5-phospho-beta-D-ribosyl)anthranilate,kcat,50,,1/s,,,,,,,,RF4,,
15,phosphoribosylanthranilate isomerase,,,5.3.1.24,,Escherichia coli,,N-(5-phospho-beta-D-ribosyl)anthranilate <=> 1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,,,Reduced 1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,Ki,0.0065,,mM,,,,,25,,,RF1,,
16,phosphoribosylanthranilate isomerase,,,5.3.1.24,,Escherichia coli,,N-(5-phospho-beta-D-ribosyl)anthranilate <=> 1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,,,Reduced 1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,Ki,0.0065,,mM,,,,7.5,25,,,RF2,,
17,phosphoribosylanthranilate isomerase,,,5.3.1.24,,Escherichia coli,,N-(5-phospho-beta-D-ribosyl)anthranilate <=> 1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,,,Reduced 1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,Ki,0.0068,,mM,,,,,25,,,RF1,,256-452]
18,phosphoribosylanthranilate isomerase,,,5.3.1.24,,Escherichia coli,,N-(5-phospho-beta-D-ribosyl)anthranilate <=> 1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,,,Reduced 1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,Ki,0.0068,,mM,,,,7.5,25,,,RF2,,256-452];
19,fused indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase,,,5.3.1.24,trpC,Escherichia coli ,K-12 substr. MG1655,N-(5-phosphoribosyl)-anthranilate  _  1-(o-carboxyphenylamino)-1\'-deoxyribulose 5\'-phosphate Enzymes:      fused indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase trpC                       phosphoribosylanthranilate isomerase [multifunctional] trpF,,,1-(o-carboxyphenylamino)-1'-deoxyribulose 5'-phosphate,Km ,5,,_M,,Inhib. 3-methylanthranilate; Inhib. 4-methylanthranilate; Inhib. 5-methylanthranilate; Inhib. 5-fluoroanthranilate; Inhib. rCdRP; Inhib. anthranilate; ,Inhib. Unknown Mechanism; ,,,,P00909,RF7,,
20,Tryptophan biosynthesis protein TrpCF,IGPS,,,trpC,Escherichia coli,strain K12,N-(5-phospho-beta-D-ribosyl)anthranilate = 1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,,,Indole-3-glycerol phosphate synthase,Region,1-257,,BLAST Subseq. Position,Monomer,,,,,,P00909,RF7,,
21,Tryptophan biosynthesis protein TrpCF,IGPS,,,trpC,Escherichia coli,strain K12,N-(5-phospho-beta-D-ribosyl)anthranilate = 1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,,,N-(5'-phosphoribosyl)anthranilate isomerase,Region,258-453,,BLAST Subseq. Position,Monomer,,,,,,P00909,RF7,,
