Priority	amp[c]	atp[c]	pep[c]	pi[c]	pyr[c]	param_PPS_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	1	0	0	0.000020848657381529523	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/relRateFor_pyr.txt"	0.2007600089131018
1	0	1	0	0	0.00003304289515594023	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/relRateFor_pyr.txt"	0.2847472489508011
1	0	1	0	0	0.000052369459591856	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/relRateFor_pyr.txt"	0.3868631798468568
1	0	1	0	0	0.00008299999999999997	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/relRateFor_pyr.txt"	0.4999999999999999
1	0	1	0	0	0.00013154613497427242	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/relRateFor_pyr.txt"	0.6131368201531431
1	0	1	0	0	0.00020848657381529524	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/relRateFor_pyr.txt"	0.7152527510491987
1	0	1	0	0	0.0003304289515594027	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/relRateFor_pyr.txt"	0.7992399910868982
1	0	1	0	0	0.0005236945959185599	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/relRateFor_pyr.txt"	0.86319311139679
1	0	1	0	0	0.0008299999999999997	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/relRateFor_pyr.txt"	0.9090909090909091
1	0	1	0	0	1	1	7	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/absRateFor.txt"	30.028110849535786
1	0	1	0	0	1	1	7	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/absRateFor.txt"	30.028110849535786
1	0	1	0	0	1	1	7	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/absRateFor.txt"	30.028110849535786
1	0	1	0	0	1	1	7	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/absRateFor.txt"	30.028110849535786
1	0	1	0	0	1	1	7	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/absRateFor.txt"	30.028110849535786
1	0	1	0	0	1	1	7	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/absRateFor.txt"	30.028110849535786
1	0	1	0	0	1	1	7	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/absRateFor.txt"	30.028110849535786
1	0	1	0	0	1	1	7	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/absRateFor.txt"	30.028110849535786
1	0	1	0	0	1	1	7	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/absRateFor.txt"	30.028110849535786
1	0	1	0	0	1	1	7	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/absRateFor.txt"	30.028110849535786
1	0	1	0	0	1	1	7	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/absRateFor.txt"	30.028110849535786
1	1	0	1	1	0	1	7	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/absRateRev.txt"	30.028110849535786
1	1	0	1	1	0	1	7	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/absRateRev.txt"	30.028110849535786
1	1	0	1	1	0	1	7	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/absRateRev.txt"	30.028110849535786
1	1	0	1	1	0	1	7	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/absRateRev.txt"	30.028110849535786
1	1	0	1	1	0	1	7	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/absRateRev.txt"	30.028110849535786
1	1	0	1	1	0	1	7	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/absRateRev.txt"	30.028110849535786
1	1	0	1	1	0	1	7	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/absRateRev.txt"	30.028110849535786
1	1	0	1	1	0	1	7	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/absRateRev.txt"	30.028110849535786
1	1	0	1	1	0	1	7	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/absRateRev.txt"	30.028110849535786
1	1	0	1	1	0	1	7	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/absRateRev.txt"	30.028110849535786
1	1	0	1	1	0	1	7	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/absRateRev.txt"	30.028110849535786
5	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/customRatio_1.txt"	0.021885655932
5	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/customRatio_1.txt"	0.021885655932
5	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/customRatio_1.txt"	0.021885655932
5	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/customRatio_1.txt"	0.021885655932
5	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/customRatio_1.txt"	0.021885655932
5	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/customRatio_1.txt"	0.021885655932
5	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/customRatio_1.txt"	0.021885655932
5	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/customRatio_1.txt"	0.021885655932
5	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/customRatio_1.txt"	0.021885655932
5	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/customRatio_1.txt"	0.021885655932
5	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/customRatio_1.txt"	0.021885655932
