Priority	3ig3p[c]	g3p[c]	ser__L[c]	trp__L[c]	param_TRPS1_total	param_pH	param_Temp	FileFlag	Target_Data
1	1	0	0.0002511886431509582	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/relRateFor_ser__L.txt"	0.7152527510491988
1	1	0	0.00039810717055349735	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/relRateFor_ser__L.txt"	0.7992399910868982
1	1	0	0.000630957344480193	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/relRateFor_ser__L.txt"	0.8631931113967899
1	1	0	0.001	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/relRateFor_ser__L.txt"	0.9090909090909091
1	4.1e-6	0	1	0	1	7.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/relRateFor_3ig3p.txt"	0.0909090909090909
1	6.498062089090567e-6	0	1	0	1	7.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/relRateFor_3ig3p.txt"	0.13680688860321003
1	0.000010298734369189286	0	1	0	1	7.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/relRateFor_3ig3p.txt"	0.20076000891310186
1	0.000016322393992693374	0	1	0	1	7.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/relRateFor_3ig3p.txt"	0.2847472489508012
1	0.00002586925112368791	0	1	0	1	7.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/relRateFor_3ig3p.txt"	0.38686317984685686
1	0.000040999999999999994	0	1	0	1	7.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/relRateFor_3ig3p.txt"	0.5
1	0.00006498062089090567	0	1	0	1	7.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/relRateFor_3ig3p.txt"	0.6131368201531431
1	0.00010298734369189285	0	1	0	1	7.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/relRateFor_3ig3p.txt"	0.7152527510491987
1	0.00016322393992693388	0	1	0	1	7.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/relRateFor_3ig3p.txt"	0.7992399910868982
1	0.0002586925112368791	0	1	0	1	7.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/relRateFor_3ig3p.txt"	0.8631931113967899
1	0.00040999999999999994	0	1	0	1	7.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/relRateFor_3ig3p.txt"	0.9090909090909091
10	1	0	1	0	1	7.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/absRateFor.txt"	6.64
10	1	0	1	0	1	7.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/absRateFor.txt"	6.64
10	1	0	1	0	1	7.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/absRateFor.txt"	6.64
10	1	0	1	0	1	7.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/absRateFor.txt"	6.64
10	1	0	1	0	1	7.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/absRateFor.txt"	6.64
10	1	0	1	0	1	7.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/absRateFor.txt"	6.64
10	1	0	1	0	1	7.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/absRateFor.txt"	6.64
10	1	0	1	0	1	7.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/absRateFor.txt"	6.64
10	1	0	1	0	1	7.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/absRateFor.txt"	6.64
10	1	0	1	0	1	7.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/absRateFor.txt"	6.64
10	1	0	1	0	1	7.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/absRateFor.txt"	6.64
10	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/customRatio_1.txt"	0.00002579694921354
10	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/customRatio_1.txt"	0.00002579694921354
10	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/customRatio_1.txt"	0.00002579694921354
10	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/customRatio_1.txt"	0.00002579694921354
10	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/customRatio_1.txt"	0.00002579694921354
10	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/customRatio_1.txt"	0.00002579694921354
10	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/customRatio_1.txt"	0.00002579694921354
10	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/customRatio_1.txt"	0.00002579694921354
10	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/customRatio_1.txt"	0.00002579694921354
10	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/customRatio_1.txt"	0.00002579694921354
10	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/customRatio_1.txt"	0.00002579694921354
