Priority	dhap[c]	g3p[c]	param_TPI_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0.0041005038567010245	1	7.6	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\relRateRev_g3p.txt"	0.7992399910868985
1	0	0.006498860648145998	1	7.6	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\relRateRev_g3p.txt"	0.8631931113967901
1	0	0.010300000000000005	1	7.6	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\relRateRev_g3p.txt"	0.9090909090909092
1	0	1	1	7.6	37	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\absRateRev.txt"	27025.299764582207
1	0	1	1	7.6	37	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\absRateRev.txt"	27025.299764582207
1	0	1	1	7.6	37	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\absRateRev.txt"	27025.299764582207
1	0	1	1	7.6	37	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\absRateRev.txt"	27025.299764582207
1	0	1	1	7.6	37	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\absRateRev.txt"	27025.299764582207
1	0	1	1	7.6	37	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\absRateRev.txt"	27025.299764582207
1	0	1	1	7.6	37	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\absRateRev.txt"	27025.299764582207
1	0	1	1	7.6	37	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\absRateRev.txt"	27025.299764582207
1	0	1	1	7.6	37	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\absRateRev.txt"	27025.299764582207
1	0	1	1	7.6	37	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\absRateRev.txt"	27025.299764582207
1	0	1	1	7.6	37	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\absRateRev.txt"	27025.299764582207
1	0	0	1	7.5	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\customRatio_1.txt"	0.00009800000000000001
1	0	0	1	7.5	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\customRatio_1.txt"	0.00009800000000000001
1	0	0	1	7.5	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\customRatio_1.txt"	0.00009800000000000001
1	0	0	1	7.5	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\customRatio_1.txt"	0.00009800000000000001
1	0	0	1	7.5	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\customRatio_1.txt"	0.00009800000000000001
1	0	0	1	7.5	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\customRatio_1.txt"	0.00009800000000000001
1	0	0	1	7.5	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\customRatio_1.txt"	0.00009800000000000001
1	0	0	1	7.5	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\customRatio_1.txt"	0.00009800000000000001
1	0	0	1	7.5	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\customRatio_1.txt"	0.00009800000000000001
1	0	0	1	7.5	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\customRatio_1.txt"	0.00009800000000000001
1	0	0	1	7.5	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\customRatio_1.txt"	0.00009800000000000001
1	0	0	1	7.5	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\customRatio_2.txt"	0.000026000000000000002
1	0	0	1	7.5	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\customRatio_2.txt"	0.000026000000000000002
1	0	0	1	7.5	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\customRatio_2.txt"	0.000026000000000000002
1	0	0	1	7.5	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\customRatio_2.txt"	0.000026000000000000002
1	0	0	1	7.5	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\customRatio_2.txt"	0.000026000000000000002
1	0	0	1	7.5	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\customRatio_2.txt"	0.000026000000000000002
1	0	0	1	7.5	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\customRatio_2.txt"	0.000026000000000000002
1	0	0	1	7.5	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\customRatio_2.txt"	0.000026000000000000002
1	0	0	1	7.5	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\customRatio_2.txt"	0.000026000000000000002
1	0	0	1	7.5	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\customRatio_2.txt"	0.000026000000000000002
1	0	0	1	7.5	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\customRatio_2.txt"	0.000026000000000000002
