kinetic_data_large,,,,,,,,,,,,,,,,
ADK1,ec_number,2.7.4.3,,,,,,,,,,,,,,
,kcat,"2pg,Null",100,,,1/s,8.1,30,"trishcl,0.05","cl,0.1;k,0.1",,,,,,
FBA1,ec_number,4.1.2.13,,,,,,,,,,,,,,
,organism,E. coli,,,,,,,,,,,,,,
,reaction,fdp[c] <-> dhap[c] + g3p[c],,,,,,,,,,,,,,
,,,,experiment,reference (PMID),strain,notes,,,,,,,,,
,mechanism,Ordered Sequential Uni Bi,"[fdp,g3p,dhap]",,RF66,,Based off of a general class I aldolase mechanism,,,,,,,,,
,structure,42957,,SDS-PAGE,"348198, 9531482",E. coli (Crookes' strain),"High likelyhood of error in this number. Previous studies assumed that the E. coli enzyme was tetrameric, being structurally similar to other class I aldolases, but this study, although not precise, concluded that the enzyme was much larger",,,,,,,,,
,active_sites,,,,,,,,,,,,,,,
,allosteric_sites,,,,,,,,,,,,,,,
,parameter type,metabolite,value,uncertainty,"cosubstrate,concentration",unit,pH,temperature,"buffer,concentration","salts,concentration",other info,ionic strength,experiment,reference,strain,notes
,Keq,"fdp,Null",0.00076,,,,7,,,,,,,,,
,Km,fdp,0.00002,,,M,7.5,30,"trishcl,0.05",,,,Lineweaver-Burk,RF65,E. coli (Crookes' strain),"Stribling et al; Apparent value and estimated off of a linear portion of a curve; It is conceivable that some proteolysis may have occurred during the purification of aldolase 1 that has produced a mixture of native enzyme and a partially digested form, with altered affinity for substrate and decreased specific activity"
,kcat,"fdp,Null",0.217,"0.21,0.223",,1/s,8,30,"trishcl,0.05",,,,Kinetic parameters were measured by non-linear re-gression analysis [26],RF165,E. coli strain KM3,Thomson et al; Not 100% sure on strain; 
,Km,fdp,0.00002,"0.000018,0.000022",,M,8,30,"trishcl,0.05",,,,Kinetic parameters were measured by non-linear re-gression analysis [26],RF165,E. coli strain KM3,Not 100% sure on strain
,kcat,"fdp,Null;cit,0.011",3.17,"3.01,3.33","cit,0.011",1/s,8,30,"trishcl,0.05",,,,Kinetic parameters were measured by non-linear re-gression analysis [26],RF165,E. coli strain KM3,Not 100% sure on strain
,Km,fdp,0.00007,"0.000058,0.000082","cit,0.011",M,8,30,"trishcl,0.05",,,,Kinetic parameters were measured by non-linear re-gression analysis [26],RF165,E. coli strain KM3,Not 100% sure on strain
FBA2,ec_number,4.1.2.13,,,,,,,,,,,,,,Baldwin et al; commercial fdp yields non-linear linewaver-burke plot; purified fdp yields linear plot
,organism,E. coli,,,,,,,,,,,,,,
,reaction,fdp[c] <-> dhap[c] + g3p[c],,,,,,,,,,,,,,
,,,,experiment,reference (PMID),strain,notes,,,,,,,,,
,mechanism,Ordered Sequential Uni Bi,"[fdp,g3p,dhap]",,RF64,E. coli strain KM3 w/ pKagaY,Implied from the mechanism,,,,,,,,,
,structure,2,,Crystallography,RF139,E. coli strain JM101 w/pLC33-5 w/pKK223-3,Strain was inferred through cited methods (PMID: 2649077),,,,,,,,,
,active_sites,2,,Crystallography,RF139,E. coli strain JM101 w/pLC33-5 w/pKK223-3,Strain was inferred through cited methods (PMID: 2649077),,,,,,,,,
,allosteric_sites,,,,,,,,,,,,,,,
,parameter type,metabolite,value,uncertainty,"cosubstrate,concentration",unit,pH,temperature,"buffer,concentration","salts,concentration",other info,ionic strength,experiment,reference,strain,notes
,Keq,"fdp,Null",0.00016,,,,7.5,,,,,,,,,Is=0.25
,Km,fdp,0.00017,"0.000167,0.000173",,M,8,30,"trishcl,0.05",,,,"Kaleidagraph (Unspecified, but nonlinear regression analysis in referenced methods)",RF64,E. coli strain KM3 w/ pKagaY,
,kcat,"fdp,Null",10.5,"9.83,11.2",,1/s,8,30,"trishcl,0.05",,,,"Kaleidagraph (Unspecified, but nonlinear regression analysis in referenced methods)",RF64,E. coli strain KM3 w/ pKagaY,
,Kic,dhap,0.00013,"0.000119,0.000141",,M,8,30,"trishcl,0.05",,"Competitive,fdp,0.00017",,"Kaleidagraph (Unspecified, but nonlinear regression analysis in referenced methods)",RF64,E. coli strain KM3 w/ pKagaY,
,Kincc,g3p,0.00003,"0.000025,0.000035",,M,8,30,"trishcl,0.05",,"NonCompetitive,fdp,0.00017",,"Kaleidagraph (Unspecified, but nonlinear regression analysis in referenced methods)",RF64,E. coli strain KM3 w/ pKagaY,
,Kincu,g3p,0.00023,"0.000188,0.000272",,M,8,30,"trishcl,0.05",,"NonCompetitive,fdp,0.00017",,"Kaleidagraph (Unspecified, but nonlinear regression analysis in referenced methods)",RF64,E. coli strain KM3 w/ pKagaY,
,kcat,"fdp,Null",8.17,"7.73,8.6",,1/s,8,30,"trishcl,0.05",,,,data were fitted to the appropriate rate equations using either the computer program Kaleidagraph (Abelbeck Software) or the suite of program described by Cleland (1979),RF163,E. coli strain KM3,"Qamar, 1996"
,Km,fdp,0.00019,"0.00016,0.00022",,M,8,30,"trishcl,0.05",,,,data were fitted to the appropriate rate equations using either the computer program Kaleidagraph (Abelbeck Software) or the suite of program described by Cleland (1979),RF163,E. coli strain KM3,"Qamar, 1996"
,Kic,dhap,0.000009,"0.0000078,0.0000102",,M,8,30,"trishcl,0.05",,"Competitive,fdp,0.00019",,data were fitted to the appropriate rate equations using either the computer program Kaleidagraph (Abelbeck Software) or the suite of program described by Cleland (1979),RF163,E. coli strain KM3,"Qamar, 1996"
,Kincc,g3p,0.000118,"0.000095,0.000141",,M,8,30,"trishcl,0.05",,"NonCompetitive,fdp,0.00019",,data were fitted to the appropriate rate equations using either the computer program Kaleidagraph (Abelbeck Software) or the suite of program described by Cleland (1979),RF163,E. coli strain KM3,"Qamar, 1996"
,Kincu,g3p,0.000221,"0.000194,0.000248",,M,8,30,"trishcl,0.05",,"NonCompetitive,fdp,0.00019",,data were fitted to the appropriate rate equations using either the computer program Kaleidagraph (Abelbeck Software) or the suite of program described by Cleland (1979),RF163,E. coli strain KM3,"Qamar, 1996"
,kcat,"fdp,Null",10.33,"10.03,10.63",,1/s,8,30,"trishcl,0.05",,,,Kinetic parameters were estimated by non-linear regression analysis [22],RF163,E. coli strain KM3,"Berry, 1993"
,Km,fdp,0.00024,"0.00021,0.00027",,M,8,30,"trishcl,0.05",,,,Kinetic parameters were estimated by non-linear regression analysis [22],RF163,E. coli strain KM3,"Berry, 1993"
,Km,fdp,0.00085,,,M,7.5,30,"trishcl,0.05",,,,Lineweaver-Burk,RF65,E. coli (Crookes' strain),
G3PD2,ec_number,1.1.1.94,,,,,,,,,,,,,,
,organism,E. coli,,,,,,,,,,,,,,
,reaction,glyc3p[c] + nadp[c] <-> dhap[c] + h[c] + nadph[c],,,,,,,,,,,,,,
,,type,order,experiment,reference (PMID),strain,notes,,,,,,,,,
,mechanism,ordered bi bi,"[nadp,glyc3p,dhap,nadph]",,RF126,"E. coli (Unspecified, but cited methods used Strain 8 (PMID:355254))",,,,,,,,,,
,structure,,,,,,,,,,,,,,,
,active_sites,,,,,,,,,,,,,,,
,allosteric_sites,,,,,,,,,,,,,,,
,parameter type,metabolite,value,uncertainty,"cosubstrate,concentration",unit,pH,temperature,"buffer,concentration","salts,concentration",other info,ionic strength,experiment,reference,strain,notes
,Keq,"glyc3p,Null;nadp,Null",0.000024,,,,7,,,,,,,,,
,Km,nadph,0.0000034,,,M,7.4,23,"trishcl,0.1",,,,secondary double reciprocal plots,RF126,"E. coli (Unspecified, but cited methods used Strain 8 (PMID:355254))",
,Km,dhap,0.00018,,,M,7.4,23,"trishcl,0.1",,,,secondary double reciprocal plots,RF126,"E. coli (Unspecified, but cited methods used Strain 8 (PMID:355254))",
,Km,nadp,0.000165,,,M,7.4,23,"trishcl,0.1",,,,secondary double reciprocal plots,RF126,"E. coli (Unspecified, but cited methods used Strain 8 (PMID:355254))",
,Km,glyc3p,0.00003,,,M,7.4,23,"trishcl,0.1",,,,secondary double reciprocal plots,RF126,"E. coli (Unspecified, but cited methods used Strain 8 (PMID:355254))",
,Kic,glyc3p,0.0000042,,"nadph,0.0001",M,7.4,23,"trishcl,0.1",,"Competitive,dhap,0.00018",,secondary double reciprocal plots,RF126,"E. coli (Unspecified, but cited methods used Strain 8 (PMID:355254))",
,Kincu,glyc3p,0.0000065,,"dhap,0.0001",M,7.4,23,"trishcl,0.1",,"NonCompetitive,nadph,0.0000034",,secondary double reciprocal plots,RF126,"E. coli (Unspecified, but cited methods used Strain 8 (PMID:355254))",
,Kincc,glyc3p,0.0000025,,"dhap,0.0001",M,7.4,23,"trishcl,0.1",,"NonCompetitive,nadph,0.0000034",,secondary double reciprocal plots,RF126,"E. coli (Unspecified, but cited methods used Strain 8 (PMID:355254))",
,Kincu,nadp,0.0013,,"nadph,0.00001",M,7.4,23,"trishcl,0.1",,"NonCompetitive,dhap,0.00018",,secondary double reciprocal plots,RF126,"E. coli (Unspecified, but cited methods used Strain 8 (PMID:355254))",
,Kincc,nadp,0.0013,,"nadph,0.00001",M,7.4,23,"trishcl,0.1",,"NonCompetitive,dhap,0.00018",,secondary double reciprocal plots,RF126,"E. coli (Unspecified, but cited methods used Strain 8 (PMID:355254))",
,Kic,nadp,0.000187,,"dhap,0.002",M,7.4,23,"trishcl,0.1",,"Competitive,nadph,0.0000034",,secondary double reciprocal plots,RF126,"E. coli (Unspecified, but cited methods used Strain 8 (PMID:355254))",
,Kic,dhap,0.000038,,"nadp,0.002",M,7.4,23,"trishcl,0.1",,"Competitive,glyc3p,0.00003",,secondary double reciprocal plots,RF126,"E. coli (Unspecified, but cited methods used Strain 8 (PMID:355254))",
,Kincu,dhap,0.00024,,"glyc3p,0.0001",M,7.4,23,"trishcl,0.1",,"NonCompetitive,nadp,0.000165",,secondary double reciprocal plots,RF126,"E. coli (Unspecified, but cited methods used Strain 8 (PMID:355254))",
,Kincc,dhap,0.00012,,"glyc3p,0.0001",M,7.4,23,"trishcl,0.1",,"NonCompetitive,nadp,0.000165",,secondary double reciprocal plots,RF126,"E. coli (Unspecified, but cited methods used Strain 8 (PMID:355254))",
,Kincu,nadph,0.0000008,,"nadp,0.0001",M,7.4,23,"trishcl,0.1",,"NonCompetitive,glyc3p,0.00003",,secondary double reciprocal plots,RF126,"E. coli (Unspecified, but cited methods used Strain 8 (PMID:355254))",
,Kincc,nadph,0.0000006,,"nadp,0.0001",M,7.4,23,"trishcl,0.1",,"NonCompetitive,glyc3p,0.00003",,secondary double reciprocal plots,RF126,"E. coli (Unspecified, but cited methods used Strain 8 (PMID:355254))",
,Kic,nadph,0.0000004,,"glyc3p,0.0002",M,7.4,23,"trishcl,0.1",,"Competitive,nadp,0.000165",,secondary double reciprocal plots,RF126,"E. coli (Unspecified, but cited methods used Strain 8 (PMID:355254))",
GAPD,ec_number,1.2.1.12,,,,,,,,,,,,,,
,organism,E. coli,,,,,,,,,,,,,,
,reaction,g3p[c] + nad[c] + pi[c] <-> 13dpg[c] + h[c] + nadh[c],,,,,,,,,,,,,,
,,,,experiment,reference (PMID),strain,notes,,,,,,,,,
,mechanism,Ordered Sequential Bi Bi,"[nad,g3p,pi,13dpg,nadh]",,RF61,Homo Sapiens,,,,,,,,,,
,structure,4,,Crystallography,RF59,E. coli strain DF221 w/ pBR322::EcoGAPDH,,,,,,,,,,
,active_sites,4,,Crystallography,RF59,E. coli strain DF221 w/ pBR322::EcoGAPDH,,,,,,,,,,
,allosteric_sites,0,,,,,,,,,,,,,,
,parameter type,metabolite,value,uncertainty,"cosubstrate,concentration",unit,pH,temperature,"buffer,concentration","salts,concentration",other info,ionic strength,experiment,reference,strain,notes
,Keq,"g3p,Null;nad,Null;pi,Null",0.452,,,,7,,,,,,,equilibrator,,
,Km,nad,0.000045,"0.000041,0.000049","pi,0.053;g3p,0.089",M,8.9,22,"teoa,0.04",,,,Not Reported,RF60,E. coli strain DS112,"Cosubtrates at saturating concentrations, assuming x100 Km"
,Km,g3p,0.00089,"0.00072,0.00106","nad,0.0045;pi,0.053",M,8.9,22,"teoa,0.04",,,,Not Reported,RF60,E. coli strain DS112,"Cosubtrates at saturating concentrations, assuming x100 Km"
,Km,pi,0.00053,"0.00042,0.00064","nad,0.0045;g3p,0.089",M,8.9,22,"teoa,0.04",,,,Not Reported,RF60,E. coli strain DS112,"Cosubtrates at saturating concentrations, assuming x100 Km"
,kcat,"g3p,Null;nad,Null;pi,Null",268,"262.0,274.0,",,1/s,8.9,22,"teoa,0.04",,,,Not Reported,RF60,E. coli strain DS112,
,Kd,nad,0.00000032,"0.00000025,0.00000039",,M,8.9,22,"teoa,0.04",,,,Not Reported,RF60,E. coli strain DS112,
PFK1,ec_number,2.7.1.11,,,,,,,,,,,,,,
,organism,E. coli,,,,,,,,,,,,,,
,reaction,atp[c] + f6p[c] <-> adp[c] + fdp[c] + h[c],,,,,,,,,,,,,,
,,type,order,experiment,reference (PMID),strain,notes,,,,,,,,,
,mechanism,Bi Bi (iso-ordered),"[f6p,atp,fdp,adp]",Hanes-Woolf plots of initial rates,RF12,Trypanosoma (Schizotrypanum) cruzi,,,,,,,,,,
,structure,4,,Crystallography,RF13,E.  coli  w/  pHE1001 or  pHE1007,,,,,,,,,,
,active_sites,4,,Crystallography,RF13,E.  coli  w/  pHE1001 or  pHE1007,,,,,,,,,,
,allosteric_sites,4,,Crystallography,RF13,E.  coli  w/  pHE1001 or  pHE1007,,,,,,,,,,
,parameter type,metabolite,value,uncertainty,"cosubstrate,concentration",unit,pH,temperature,"buffer,concentration","salts,concentration",other info,ionic strength,experiment,reference,strain,notes
,Keq,"atp,Null;f6p,Null",2000,,,,7.5,,,,,,equilibrator,,Is=0.25,
,Km,atp,0.00009,"0.000054,0.000126","gdp,0.001;f6p,0.001",M,8.5,30,"detam,0.051;netmphn,0.051;mes,0.1",,,,GraFit (Michaelis-Menten Equation),RF15,E. coli strain DF1020 w/ wt-pfk1,Km is a K0.5
,Km,gdp,0.0042,"0.00293,0.00547","f6p,0.00004;atp,0.005",M,8.5,30,"detam,0.051;netmphn,0.051;mes,0.1",,,,GraFit (Hill Equation),RF15,E. coli strain DF1020 w/ wt-pfk1,Km is a K0.5
,s05,f6p,0.00009,"0.000054,0.000126","atp,0.001",M,8.5,30,"detam,0.051;netmphn,0.051;mes,0.1",,,,GraFit (Hill Equation),RF15,E. coli strain DF1020 w/ wt-pfk1,Km is a K0.5
,kcat,"gdp,0.001;atp,Null;f6p,Null",110.7,"108.1,113.3",,1/s,8.5,30,"detam,0.051;netmphn,0.051;mes,0.1",,,,GraFit (Hill Equation),RF15,E. coli strain DF1020 w/ wt-pfk1,
,Kinc,pep,0.00075,"0.0007,0.0008",,M,8.5,28,"tris,0.05",,"NonCompetitive,atp,0.00009;NonCompetitive,f6p,0.00009",,Lineweaver-Burk,RF16,E.  coli  Hfr  3000,Mixed Assay (PFKI&II)
,Kic,adp,0.0002,,,M,8.5,28,"tris,0.05",,"Competitive,atp,0.00009",,Lineweaver-Burk,RF16,E.  coli  Hfr  3000,Mixed Assay (PFKI&II)
,Ka,adp,0.000025,,,M,8.5,28,"tris,0.05",,,,Lineweaver-Burk,RF16,E.  coli  Hfr  3000,Mixed Assay (PFKI&II)
,Ka,gdp,0.00004,"0.000035,0.000045",,M,8.5,28,"tris,0.05",,,,Lineweaver-Burk,RF16,E.  coli  Hfr  3000,Mixed Assay (PFKI&II)
,n,f6p,2.11,"2.00,2.22","atp,0.001",,8.5,30,"detam,0.051;netmphn,0.051;mes,0.1",,,,GraFit (Hill Equation),RF15,E. coli strain DF1020 w/ wt-pfk1,
,L0,,4000000,,,,8.5,28,"tris,0.05",,,,Lineweaver-Burk,RF16,E.  coli  Hfr  3000,Mixed Assay (PFKI&II)
TALA2,ec_number,2.2.1.2,,,,,,,,,,,,,,
,organism,E. coli,,,,,,,,,,,,,,
,reaction,e4p[c] + f6p[c] <-> g3p[c] + s7p[c],,,,,,,,,,,,,,
,,type,order,experiment,reference,strain,notes,,,,,,,,,
,mechanism,Ping Pong Bi Bi,"[f6p,g3p,e4p,s7p]",Crystallography,RF52,E. coli K-12 cells (strain DH5/pGSJ451),Schiff-base intermediate,,,,,,,,,
,structure,2,,Crystallography,RF52,E. coli K-12 cells (strain DH5/pGSJ451),,,,,,,,,,
,active_sites,2,,Crystallography,RF52,E. coli K-12 cells (strain DH5/pGSJ451),,,,,,,,,,
,allosteric_sites,0,,,,,,,,,,,,,,
,parameter type,metabolite,value,uncertainty,"cosubstrate,concentration",unit,pH,temperature,"buffer,concentration","salts,concentration",other info,ionic strength,experiment,reference,strain,notes
,Keq,"e4p,Null;f6p,Null",0.840336135,,,,7,,,,,,,,,
,Km,g3p,0.000038,,,M,8.5,30,"glygly,0.05",,,,Lineweaver-Burk,RF53,E. coli K-12 cells (strain DH5/pGSJ451),"'Cosubtrates at ''excess'' concentrations, assuming x100 Km'; MM: removed co-substrates concentrations as I couldn't find evidence in the reference "
,Km,e4p,0.00009,,,M,8.5,30,"glygly,0.05",,,,Lineweaver-Burk,RF53,E. coli K-12 cells (strain DH5/pGSJ451),"'Cosubtrates at ''excess'' concentrations, assuming x100 Km'; MM: removed co-substrates concentrations as I couldn't find evidence in the reference "
,Km,r5p,0.031,,,M,8.5,30,"glygly,0.05",,,,Lineweaver-Burk,RF53,E. coli K-12 cells (strain DH5/pGSJ451),"'Cosubtrates at ''excess'' concentrations, assuming x100 Km'; MM: removed co-substrates concentrations as I couldn't find evidence in the reference "
,Km,f6p,0.0012,,,M,8.5,30,"glygly,0.05",,,,Lineweaver-Burk,RF53,E. coli K-12 cells (strain DH5/pGSJ451),"'Cosubtrates at ''excess'' concentrations, assuming x100 Km'; MM: removed co-substrates concentrations as I couldn't find evidence in the reference "
,Km,s7p,0.000285,,,M,8.5,30,"glygly,0.05",,,,Lineweaver-Burk,RF53,E. coli K-12 cells (strain DH5/pGSJ451),"'Cosubtrates at ''excess'' concentrations, assuming x100 Km'; MM: removed co-substrates concentrations as I couldn't find evidence in the reference "
,kcat,"f6p,Null;e4p,0.002",71.4,,,1/s,8.5,30,"glygly,0.05",,,,Excel (Unspecified linear fitting),RF100,E. coli strain LJ110 (W3110),"Assay buffer and temperature conditions were not expicitly stated, but implied through referenced methods"
,kcat,"e4p,Null;f6p,0.05",79.4,,,1/s,8.5,30,"glygly,0.05",,,,Excel (Unspecified linear fitting),RF100,E. coli strain LJ110 (W3110),"Assay buffer and temperature conditions were not expicitly stated, but implied through referenced methods"
,Kic,pi,0.019,"0.016,0.022",,M,8.5,30,"glygly,0.05",,"Competitive,f6p,0.0012;Competitive,e4p,0.00009;Competitive,s7p,0.000285;Competitive,g3p,0.000038",,Lineweaver-Burk,RF53,E. coli K-12 cells (strain DH5/pGSJ451),
TPI,ec_number,5.3.1.1,,,,,,,,,,,,,,
,organism,E. coli,,,,,,,,,,,,,,
,reaction,dhap[c] <-> g3p[c],,,,,,,,,,,,,,
,,type,order,experiment,reference,strain,notes,,,,,,,,,
,mechanism,,,,,,,,,,,,,,,
,structure,2,,Crystallography,RF62,E. coli over-expressing  strain (Unspecified),,,,,,,,,,
,active_sites,2,,Crystallography,RF62,E. coli over-expressing  strain (Unspecified),,,,,,,,,,
,allosteric_sites,,,,,,,,,,,,,,,
,parameter type,metabolite,value,uncertainty,"cosubstrate,concentration",unit,pH,temperature,"buffer,concentration","salts,concentration",other info,ionic strength,experiment,reference,strain,notes
,Keq,"g3p,Null",0.107411386,,,,7,,,,,,,,,
,Km,g3p,0.00103,"0.00093,0.00113",,M,7.6,25,"teoahcl,0.1",,,,Enzfitter program (Unspecified),RF63,E. coli over-expressing  strain (Unspecified),
,kcat,"g3p,Null",9000,"88,339,167",,1/s,7.6,25,"teoahcl,0.1",,,,Enzfitter program (Unspecified),RF63,E. coli over-expressing  strain (Unspecified),
,Ki,2-phosphoglycolate,0.006,,,M,7.6,25,"teoahcl,0.1",,"Competitive,dhap,Null",,Enzfitter program (Unspecified),RF63,E. coli over-expressing  strain (Unspecified),
dPGM,ec_number,5.4.2.1,,,,,,,,,,,,,,
,organism,E. coli,,,,,,,,,,,,,,
,reaction,2pg[c] <-> 3pg[c],,,,,,,,,,,,,,
,,type,order,experiment,reference,strain,notes,,,,,,,,,
,mechanism,Null,,,,,,,,,,,,,,
,structure,2,,,,,,,,,,,,,,
,active_sites,2,,,,,,,,,,,,,,
,allosteric_sites,0,,,,,,,,,,,,,,
,parameter type,metabolite,value,uncertainty,"cosubstrate,concentration",unit,pH,temperature,"buffer,concentration","salts,concentration",other info,ionic strength,experiment,reference,strain,notes
,Keq,"2pg,Null",5.3,,,,7.5,,,,,,,,,IS=0.25M
,Km,3pg,0.0002,,,M,7,30,"trishcl,0.03","k,0.02;cl,0.02;mg2,0.005;so4,0.005",,,,,,
,Km,2pg,0.00019,,,M,7,30,"trishcl,0.03","k,0.02;cl,0.02;mg2,0.005;so4,0.005",,,,,,
,kcat,"3pg,Null",330,,,1/s,7,30,"trishcl,0.03","k,0.02;cl,0.02;mg2,0.005;so4,0.005",,,,,,
,kcat,"2pg,Null",220,,,1/s,7,30,"trishcl,0.03","k,0.02;cl,0.02;mg2,0.005;so4,0.005",,,,,,
GLUSy,ec_number,1.4.1.13,,,,,,,,,,,,,,
,organism,E.coli,,,,,,,,,,,,,,
,reaction,akg[c] + gln[c] + h[c] + nadph[c] <-> glu[c]+glu[c]+ nadp[c],,,,,,,,,,,,,,
,,type,order,experiment,reference,strain,notes,,,,,,,,,
,mechanism,Inhib. Unknown,,,mRF1,strain K12,,,,,,,,,,
,structure,8,,,mRF1,strain K12,,,,,,,,,,
,active_sites,4,,,mRF1,strain K12,,,,,,,,,,
,allosteric_sites,0,,,,,,,,,,,,,,
,parameter type,metabolite,value,uncertainty,"cosubstrate,concentration",unit,pH,temperature,"buffer,concentration","salts,concentration",inhib info,experiment,reference,strain,notes,
,Km,akg,0.0000073,,,M,7.5,30,"hepes,.05",,,,RF148,strain K12,Inhib. D-aspartate; Inhib. L-aspartate; Inhib. D-glutamate; Inhib. L-methionine; ,
,Km,gln,0.00025,,,M,7.5,30,"hepes,.05",,,,RF148,strain K12,,
,Km,nadph,0.0000077,,,M,7.5,30,"hepes,.05",,,,RF148,strain K12,,
,Keq,"akg,Null;gln,Null;nadph,Null",220000000,,,M,7.5,,,,,,Equilibrator,,,
GLUN,ec_number,3.5.1.2,,,,,,,,,,,,,,
,organism,E.coli,,,,,,,,,,,,,,
,reaction,gln[c] + h2o[c] <-> glu[c] + nh4[c],,,,,,,,,,,,,,
,,type,order,experiment,reference,strain,notes,,,,,,,,,
,mechanism,Unknown,,,,,,,,,,,,,,
,structure,4,,,RF149,,,,,,,,,,,
,active_sites,4,,,RF149,,,,,,,,,,,
,allosteric_sites,0,,,,,,,,,,,,,,
,parameter type,metabolite,value,uncertainty,"cosubstrate,concentration",unit,pH,temperature,"buffer,concentration","salts,concentration",inhib info,experiment,reference,strain,notes,
,Km ,gln_,0.0306,"0.0279,0.0333",,M,7.5,37,"hepes,.05",,,,RF149,K-12 substr. MG1655,Inhib. phosphate; Inhib. Mg2+; Inhib. Mn2+; ,
,kcat ,gln_,101,"97.2,104.8",,1/s,7.5,37,"hepes,.05",,,,RF149,K-12 substr. MG1656,,
,Keq,"gln,Null;",104,,,,7.5,,,,,,Equilibrator,,,
,Vmax,gln,169.7,"163.3,176.1",,units/mg,7.5,37,"hepes,.05",,,,RF149,K-12 substr. MG1656,,
,kcat/Km,gln_,3300,,,sec-1 M-1,7.5,37,"hepes,.05",,,,RF149,K-12 substr. MG1657,,
GLNS,ec_number,6.3.1.2,,,,,,,,,,,,,,
,organism,E.coli,,,,,,,,,,,,,,
,reaction,atp[c] + glu[c] + nh4[c] <-> adp[c] + gln[c] + h[c] + pi[c],,,,,,,,,,,,,,
,,type,order,experiment,reference,strain,notes,,,,,,,,,
,mechanism,Inhib. Competitive; Inhib. Other; Inhib. Unknown Mechanism; ,,,,,,,,,,,,,,
,structure,12,,,,,,,,,,,,,,
,active_sites,12,,,,,,,,,,,,,,
,allosteric_sites,0,,,,,,,,,,,,,,
,parameter type,metabolite,value,uncertainty,"cosubstrate,concentration",unit,pH,temperature,"buffer,concentration","salts,concentration",inhib info,experiment,reference,strain,notes,
,Km ,nh4,0.0001,"0.00008,0.00012",,M,6.5,25," pipes, .05;PEP, .001; ","K,.001;Cl, .001; Mn2,.008;Cl,.008",,,RF150,wildtype,http://pubs.acs.org/doi/abs/10.1021/bi00169a008,
,Km,glu,0.00005,"0.00004,0.00006",,M,6.5,25," pipes, .05;PEP, .001; ","K,.001;Cl, .001; Mn2,.008;Cl,.008",,,RF150,wildtype,"100 mM pipesS, 100 mM KCl, 8 mM MnCl2, 0.25 mM PEP, 0.01 mg/ml pyruvate kinase",
,Km,atp_,0.0000006,"0.0000005,0.0000007",,M,6.5,25," pipes, .05;PEP, .001; ","K,.001;Cl, .001; Mn2,.008;Cl,.008",,,RF150,wildtype,,
,kcat ,glu,2,,,1/s,6.5,25," pipes, .05;PEP, .001; ","K,.001;Cl, .001; Mn2,.008;Cl,.008",,,RF150,wildtype,,
