Priority	r5p[c]	ru5p__D[c]	ara5p[c]	param_RPIa_total	param_pH	param_Temp	FileFlag	Target_Data
1	0.01	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/absRateFor.txt"	2100.
1	0.01	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/absRateFor.txt"	2100.
1	0.01	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/absRateFor.txt"	2100.
1	0.00030999999999999995	0	0.00105	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/relRateFor_r5p.txt"	0.0625
1	0.0009803060746521974	0	0.00105	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/relRateFor_r5p.txt"	0.1741123948954683
1	0.0031	0	0.00105	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/relRateFor_r5p.txt"	0.39999999999999997
1	0.009803060746521975	0	0.00105	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/relRateFor_r5p.txt"	0.6782688399674104
1	0.030999999999999996	0	0.00105	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/relRateFor_r5p.txt"	0.8695652173913043
1	0.00030999999999999995	0	0.0021	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/relRateFor_r5p.txt"	0.04761904761904761
1	0.0009803060746521974	0	0.0021	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/relRateFor_r5p.txt"	0.1365270594958143
1	0.0031	0	0.0021	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/relRateFor_r5p.txt"	0.3333333333333333
1	0.009803060746521975	0	0.0021	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/relRateFor_r5p.txt"	0.6125741132772068
1	0.030999999999999996	0	0.0021	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/relRateFor_r5p.txt"	0.8333333333333333
1	0.00030999999999999995	0	0.0042	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/relRateFor_r5p.txt"	0.03225806451612903
1	0.0009803060746521974	0	0.0042	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/relRateFor_r5p.txt"	0.09535767393825997
1	0.0031	0	0.0042	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/relRateFor_r5p.txt"	0.24999999999999997
1	0.009803060746521975	0	0.0042	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/relRateFor_r5p.txt"	0.513167019494862
1	0.030999999999999996	0	0.0042	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/relRateFor_r5p.txt"	0.7692307692307692
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/inhibRatio_ara5p_1.txt"	0.0021
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/inhibRatio_ara5p_1.txt"	0.0021
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/inhibRatio_ara5p_1.txt"	0.0021
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/inhibRatio_ara5p_1.txt"	0.0021
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/inhibRatio_ara5p_1.txt"	0.0021
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/inhibRatio_ara5p_1.txt"	0.0021
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/inhibRatio_ara5p_1.txt"	0.0021
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/inhibRatio_ara5p_1.txt"	0.0021
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/inhibRatio_ara5p_1.txt"	0.0021
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/inhibRatio_ara5p_1.txt"	0.0021
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/inhibRatio_ara5p_1.txt"	0.0021
