Priority	3psme[c]	chor[c]	pi[c]	param_CHORS_total	param_pH	param_Temp	FileFlag	Target_Data
0.1	3.265452360962458e-6	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_CHORS_typeII/input/relRateFor_3psme.txt"	0.7152527510491988
0.1	5.175393217195462e-6	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_CHORS_typeII/input/relRateFor_3psme.txt"	0.7992399910868982
0.1	8.202445478242513e-6	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_CHORS_typeII/input/relRateFor_3psme.txt"	0.8631931113967901
0.1	0.000013000000000000006	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_CHORS_typeII/input/relRateFor_3psme.txt"	0.9090909090909092
1	1.75e-7	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_CHORS_typeII/input/relRateFor_3psme.txt"	0.09090909090909091
1	2.7735630868069494e-7	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_CHORS_typeII/input/relRateFor_3psme.txt"	0.13680688860321003
1	4.3958012551417684e-7	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_CHORS_typeII/input/relRateFor_3psme.txt"	0.20076000891310186
1	6.966875484686196e-7	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_CHORS_typeII/input/relRateFor_3psme.txt"	0.2847472489508012
1	1.1041753528403377e-6	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_CHORS_typeII/input/relRateFor_3psme.txt"	0.38686317984685686
1	1.75e-6	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_CHORS_typeII/input/relRateFor_3psme.txt"	0.5
1	2.7735630868069494e-6	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_CHORS_typeII/input/relRateFor_3psme.txt"	0.6131368201531431
1	4.395801255141768e-6	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_CHORS_typeII/input/relRateFor_3psme.txt"	0.7152527510491987
1	6.9668754846861955e-6	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_CHORS_typeII/input/relRateFor_3psme.txt"	0.799239991086898
1	0.000011041753528403377	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_CHORS_typeII/input/relRateFor_3psme.txt"	0.8631931113967899
1	0.0000175	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_CHORS_typeII/input/relRateFor_3psme.txt"	0.9090909090909092
