Priority	dhap[c]	fdp[c]	g3p[c]	cit[c]	param_FBA1_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0.00020000000000000004	0	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/relRateFor_fdp.txt"	0.9090909090909092
1	0	7.000000000000002e-6	0	0.011	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/relRateFor_fdp.txt"	0.09090909090909094
1	0	0.000011094252347227801	0	0.011	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/relRateFor_fdp.txt"	0.13680688860321008
1	0	0.00001758320502056708	0	0.011	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/relRateFor_fdp.txt"	0.20076000891310194
1	0	0.000027867501938744792	0	0.011	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/relRateFor_fdp.txt"	0.2847472489508013
1	0	0.000044167014113613516	0	0.011	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/relRateFor_fdp.txt"	0.3868631798468569
1	0	0.00007000000000000002	0	0.011	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/relRateFor_fdp.txt"	0.5000000000000001
1	0	0.00011094252347227801	0	0.011	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/relRateFor_fdp.txt"	0.6131368201531432
1	0	0.0001758320502056708	0	0.011	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/relRateFor_fdp.txt"	0.7152527510491989
1	0	0.0002786750193874482	0	0.011	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/relRateFor_fdp.txt"	0.7992399910868984
1	0	0.0004416701411361352	0	0.011	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/relRateFor_fdp.txt"	0.86319311139679
1	0	0.0007000000000000001	0	0.011	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/relRateFor_fdp.txt"	0.9090909090909092
1	0	1	0	0	1	8	37	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/absRateFor.txt"	0.41211435266581287
1	0	1	0	0	1	8	37	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/absRateFor.txt"	0.41211435266581287
1	0	1	0	0	1	8	37	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/absRateFor.txt"	0.41211435266581287
1	0	1	0	0	1	8	37	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/absRateFor.txt"	0.41211435266581287
1	0	1	0	0	1	8	37	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/absRateFor.txt"	0.41211435266581287
1	0	1	0	0	1	8	37	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/absRateFor.txt"	0.41211435266581287
1	0	1	0	0	1	8	37	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/absRateFor.txt"	0.41211435266581287
1	0	1	0	0	1	8	37	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/absRateFor.txt"	0.41211435266581287
1	0	1	0	0	1	8	37	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/absRateFor.txt"	0.41211435266581287
1	0	1	0	0	1	8	37	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/absRateFor.txt"	0.41211435266581287
1	0	1	0	0	1	8	37	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/absRateFor.txt"	0.41211435266581287
1	0	1	0	0.011	1	8	37	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/absRateFor.txt"	6.020288008989064
1	0	1	0	0.011	1	8	37	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/absRateFor.txt"	6.020288008989064
1	0	1	0	0.011	1	8	37	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/absRateFor.txt"	6.020288008989064
1	0	1	0	0.011	1	8	37	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/absRateFor.txt"	6.020288008989064
1	0	1	0	0.011	1	8	37	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/absRateFor.txt"	6.020288008989064
1	0	1	0	0.011	1	8	37	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/absRateFor.txt"	6.020288008989064
1	0	1	0	0.011	1	8	37	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/absRateFor.txt"	6.020288008989064
1	0	1	0	0.011	1	8	37	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/absRateFor.txt"	6.020288008989064
1	0	1	0	0.011	1	8	37	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/absRateFor.txt"	6.020288008989064
1	0	1	0	0.011	1	8	37	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/absRateFor.txt"	6.020288008989064
1	0	1	0	0.011	1	8	37	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/absRateFor.txt"	6.020288008989064
