Entry ID,Recommended Enzyme Name,Reaction ID,Enzymatic Activity,EC Number,Gene,Organism,Strain/Tissue,Reaction,Cofactor,Cofactor Concentration,Substrate,Value Type,Value,Deviation,Units,Structure,Regulation,Regulation Mechanism,pH,Temp (›C),Buffer/Media,Uniprot,References,Data Point,Notes
21,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitF22S,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,,kcat (kcat),0.048,,s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S4,
22,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitF22S,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,kcat/Km (kcat_Km),0.18,,mM^(-1)*s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S4,
23,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitF22S,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,Km (Km),0.27,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S4,
24,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP28L,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,Enzyme,concentration (E),,,,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S5,
25,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP28L,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,concentration (A),Start: 0.05; End: 0.2,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S5,
26,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP28L,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,,kcat (kcat),0.222,,s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S5,
27,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP28L,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,kcat/Km (kcat_Km),0.85,,mM^(-1)*s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S5,
28,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP28L,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,Km (Km),0.26,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S5,
29,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitG51D,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,concentration (A),Start: 0.05; End: 0.2,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S6,
30,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitG51D,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,Enzyme,concentration (E),,,,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S6,
31,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitG51D,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,,kcat (kcat),0.122,,s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S6,
32,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitG51D,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,kcat/Km (kcat_Km),0.31,,mM^(-1)*s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S6,
33,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitG51D,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,Km (Km),0.39,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S6,
34,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP53H,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,Enzyme,concentration (E),,,,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S7,
35,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP53H,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,concentration (A),Start: 0.05; End: 0.2,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S7,
36,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP53H,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,,kcat (kcat),0.039,,s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S7,
37,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP53H,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,kcat/Km (kcat_Km),0.1,,mM^(-1)*s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S7,
38,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP53H,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,Km (Km),0.39,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S7,
39,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP53T,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,concentration (A),Start: 0.05; End: 0.2,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S8,
40,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP53T,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,Enzyme,concentration (E),,,,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S8,
41,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP53T,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,,kcat (kcat),0.269,,s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S8,
42,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP53T,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,kcat/Km (kcat_Km),0.5,,mM^(-1)*s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S8,
43,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP53T,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,Km (Km),0.54,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S8,
44,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitD56G,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,concentration (A),Start: 0.05; End: 0.2,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S9,
45,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitD56G,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,Enzyme,concentration (E),,,,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S9,
46,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitD56G,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,,kcat (kcat),0.054,,s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S9,
47,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitD56G,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,kcat/Km (kcat_Km),0.24,,mM^(-1)*s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S9,
48,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitD56G,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,Km (Km),0.22,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S9,
49,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP62Q,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,concentration (A),Start: 0.05; End: 0.2,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S10,
50,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP62Q,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,Enzyme,concentration (E),,,,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S10,
51,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP62Q,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,,kcat (kcat),0.465,,s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S10,
52,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP62Q,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,kcat/Km (kcat_Km),0.99,,mM^(-1)*s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S10,
53,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitP62Q,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,Km (Km),0.47,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S10,
54,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitT63K,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,concentration (A),Start: 0.05; End: 0.2,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S11,
55,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitT63K,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,Enzyme,concentration (E),,,,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S11,
56,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitT63K,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,,kcat (kcat),0.136,,s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S11,
57,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitT63K,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,kcat/Km (kcat_Km),0.91,,mM^(-1)*s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S11,
58,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitT63K,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,Km (Km),0.15,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S11,
59,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitQ65R,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,Enzyme,concentration (E),,,,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S12,
60,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitQ65R,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,concentration (A),Start: 0.05; End: 0.2,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S12,
61,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitQ65R,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,,kcat (kcat),0.054,,s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S12,
62,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitQ65R,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,kcat/Km (kcat_Km),0.41,,mM^(-1)*s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S12,
63,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitQ65R,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,Km (Km),0.13,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S12,
64,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitA67V,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,Enzyme,concentration (E),,,,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S13,
65,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitA67V,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,concentration (A),Start: 0.05; End: 0.2,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S13,
66,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitA67V,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,,kcat (kcat),0.047,,s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S13,
67,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitA67V,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,kcat/Km (kcat_Km),0.09,,mM^(-1)*s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S13,
68,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitA67V,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,Km (Km),0.51,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S13,
69,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitC81R,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,concentration (A),Start: 0.05; End: 0.2,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S14,
70,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitC81R,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,Enzyme,concentration (E),,,,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S14,
71,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitC81R,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,,kcat (kcat),0.233,,s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S14,
72,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitC81R,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,kcat/Km (kcat_Km),1.01,,mM^(-1)*s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S14,
73,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitC81R,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,Km (Km),0.23,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S14,
74,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitY102C,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,concentration (A),Start: 0.05; End: 0.2,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S15,
75,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitY102C,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,Enzyme,concentration (E),,,,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S15,
76,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitY102C,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,,kcat (kcat),0.048,,s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S15,
77,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitY102C,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,kcat/Km (kcat_Km),0.11,,mM^(-1)*s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S15,
78,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitY102C,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,Km (Km),0.45,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S15,
79,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitY102H,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,Enzyme,concentration (E),,,,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S16,
80,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitY102H,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,concentration (A),Start: 0.05; End: 0.2,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S16,
81,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitY102H,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,,kcat (kcat),0.49,,s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S16,
82,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitY102H,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,kcat/Km (kcat_Km),0.34,,mM^(-1)*s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S16,
