Priority	adp[c]	atp[c]	f6p[c]	fdp[c]	param_PFK2_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	1	9.509359154766689e-6	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_f6p.txt"	0.6131368201531433
1	0	1	0.000015071318589057501	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_f6p.txt"	0.7152527510491988
1	0	1	0.000023886430233209828	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_f6p.txt"	0.7992399910868981
1	0	1	0.0000378574406688116	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_f6p.txt"	0.86319311139679
1	0	1	0.00006000000000000003	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_f6p.txt"	0.9090909090909091
1	0	2.0000000000000003e-6	1	0	1	8.2	26	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_atp.txt"	0.09090909090909091
1	0	3.1697863849222286e-6	1	0	1	8.2	26	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_atp.txt"	0.13680688860321005
1	0	5.023772863019165e-6	1	0	1	8.2	26	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_atp.txt"	0.20076000891310186
1	0	7.96214341106994e-6	1	0	1	8.2	26	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_atp.txt"	0.2847472489508013
1	0	0.000012619146889603861	1	0	1	8.2	26	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_atp.txt"	0.3868631798468569
1	0	0.00002	1	0	1	8.2	26	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_atp.txt"	0.49999999999999994
1	0	0.00003169786384922229	1	0	1	8.2	26	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_atp.txt"	0.6131368201531432
1	0	0.00005023772863019165	1	0	1	8.2	26	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_atp.txt"	0.7152527510491988
1	0	0.00007962143411069939	1	0	1	8.2	26	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_atp.txt"	0.7992399910868981
1	0	0.0001261914688960386	1	0	1	8.2	26	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_atp.txt"	0.86319311139679
1	0	0.00020000000000000004	1	0	1	8.2	26	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_atp.txt"	0.9090909090909092
1	0	1	0.00001	0	1	8.2	26	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_f6p.txt"	0.09090909090909091
1	0	1	0.00001584893192461114	0	1	8.2	26	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_f6p.txt"	0.13680688860321005
1	0	1	0.000025118864315095822	0	1	8.2	26	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_f6p.txt"	0.20076000891310186
1	0	1	0.000039810717055349695	0	1	8.2	26	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_f6p.txt"	0.2847472489508013
1	0	1	0.00006309573444801929	0	1	8.2	26	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_f6p.txt"	0.3868631798468568
1	0	1	0.0001	0	1	8.2	26	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_f6p.txt"	0.5
1	0	1	0.00015848931924611142	0	1	8.2	26	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_f6p.txt"	0.6131368201531432
1	0	1	0.0002511886431509582	0	1	8.2	26	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_f6p.txt"	0.7152527510491988
1	0	1	0.00039810717055349735	0	1	8.2	26	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_f6p.txt"	0.7992399910868982
1	0	1	0.000630957344480193	0	1	8.2	26	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_f6p.txt"	0.8631931113967899
1	0	1	0.001	0	1	8.2	26	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_f6p.txt"	0.9090909090909091
1	0	1	1	0	1	8.2	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/absRateFor.txt"	145.2144649960413
1	0	1	1	0	1	8.2	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/absRateFor.txt"	145.2144649960413
1	0	1	1	0	1	8.2	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/absRateFor.txt"	145.2144649960413
1	0	1	1	0	1	8.2	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/absRateFor.txt"	145.2144649960413
1	0	1	1	0	1	8.2	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/absRateFor.txt"	145.2144649960413
1	0	1	1	0	1	8.2	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/absRateFor.txt"	145.2144649960413
1	0	1	1	0	1	8.2	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/absRateFor.txt"	145.2144649960413
1	0	1	1	0	1	8.2	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/absRateFor.txt"	145.2144649960413
1	0	1	1	0	1	8.2	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/absRateFor.txt"	145.2144649960413
1	0	1	1	0	1	8.2	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/absRateFor.txt"	145.2144649960413
1	0	1	1	0	1	8.2	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/absRateFor.txt"	145.2144649960413
3	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/customRatio_1.txt"	0.0006689181405949969
3	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/customRatio_1.txt"	0.0006689181405949969
3	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/customRatio_1.txt"	0.0006689181405949969
3	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/customRatio_1.txt"	0.0006689181405949969
3	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/customRatio_1.txt"	0.0006689181405949969
3	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/customRatio_1.txt"	0.0006689181405949969
3	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/customRatio_1.txt"	0.0006689181405949969
3	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/customRatio_1.txt"	0.0006689181405949969
3	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/customRatio_1.txt"	0.0006689181405949969
3	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/customRatio_1.txt"	0.0006689181405949969
3	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/customRatio_1.txt"	0.0006689181405949969
