Entry ID,Recommended Enzyme Name,Reaction ID,Enzymatic Activity,EC Number,Gene,Organism,Strain/Tissue,Reaction,Cofactor,Cofactor Concentration,Substrate,Value Type,Value,Deviation,Units,Structure,Regulation,Regulation Mechanism,pH,Temp (øC),Buffer/Media,Uniprot,References,Data Point,Notes
17,indole-3-glycerol-phosphate synthase,,,4.1.1.48,,Escherichia coli,,,,,1-(2-carboxyphenylamino)-1-deoxy-D-ribulose-5-phosphate,kcat,2.2,,1/s,,,,,,,,RF4,,wild-type enzyme
18,indole-3-glycerol-phosphate synthase,,,4.1.1.48,,Escherichia coli,,,,,1-(2-carboxyphenylamino)-1-deoxy-D-ribulose-5-phosphate,kcat,3.2,,1/s,,,,,,,,RF3,,genetically engineered monofunctional enzyme form IGPS[1-259]
19,indole-3-glycerol-phosphate synthase,,,4.1.1.48,,Escherichia coli,,,,,1-(2-carboxyphenylamino)-1-deoxy-D-ribulose-5-phosphate,kcat,3.6,,1/s,,,,,,,,RF3,,bifunctional enzyme
20,indole-3-glycerol-phosphate synthase,,,4.1.1.48,,Escherichia coli,,,,,1-(2-carboxyphenylamino)-1-deoxy-D-ribulose-5-phosphate,kcat,4.3,,1/s,,,,,,,,RF3,,genetically engineered monofunctional enzyme form IGPS[1-252FAG]
21,indole-3-glycerol-phosphate synthase,,,4.1.1.48,,Escherichia coli,,,,,1-(2-carboxyphenylamino)-1-deoxy-D-ribulose-5-phosphate,kcat,7.2,,1/s,,,,,,,,RF5,,wild-type enzyme
22,indole-3-glycerol-phosphate synthase,,,4.1.1.48,,Escherichia coli,,,,,1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,kcat/KM,13.3,,1/(mM*s),,,,7.5,,,,RF2,,25_C
23,indole-3-glycerol-phosphate synthase,,,4.1.1.48,,Escherichia coli,,,,,1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,kcat/KM,5700,,1/(mM*s),,,,7.5,,,,RF1,,at  and 37_C
24,fused indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase,,,5.3.1.24,trpC,Escherichia coli ,K-12 substr. MG1655,N-(5-phosphoribosyl)-anthranilate  _  1-(o-carboxyphenylamino)-1\'-deoxyribulose 5\'-phosphate Enzymes:      fused indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase trpC                       phosphoribosylanthranilate isomerase [multifunctional] trpF,,,1-(o-carboxyphenylamino)-1'-deoxyribulose 5'-phosphate,Km ,5,,_M,,Inhib. 3-methylanthranilate; Inhib. 4-methylanthranilate; Inhib. 5-methylanthranilate; Inhib. 5-fluoroanthranilate; Inhib. rCdRP; Inhib. anthranilate; ,Inhib. Unknown Mechanism; ,,,,P00909,RF8,,
25,Tryptophan biosynthesis protein TrpCF,IGPS,,,trpC,Escherichia coli,strain K12,N-(5-phospho-beta-D-ribosyl)anthranilate = 1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,,,Indole-3-glycerol phosphate synthase,Region,1-257,,BLAST Subseq. Position,Monomer,,,,,,P00909,RF8,,
26,Tryptophan biosynthesis protein TrpCF,IGPS,,,trpC,Escherichia coli,strain K12,N-(5-phospho-beta-D-ribosyl)anthranilate = 1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,,,N-(5'-phosphoribosyl)anthranilate isomerase,Region,258-453,,BLAST Subseq. Position,Monomer,,,,,,P00909,RF8,,
