Priority	dhap[c]	fdp[c]	g3p[c]	param_FBA2_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0.0005375872022286248	0.00006500000000000001	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/otherRateRelFor_fdp_prod_inhib_g3p.txt"	0.43782901894103
1	0	0.0017000000000000008	0.00006500000000000001	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/otherRateRelFor_fdp_prod_inhib_g3p.txt"	0.6252831898504759
1	0	0.000017000000000000007	0.00013000000000000002	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/otherRateRelFor_fdp_prod_inhib_g3p.txt"	0.01821541710665259
1	0	0.00005375872022286247	0.00013000000000000002	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/otherRateRelFor_fdp_prod_inhib_g3p.txt"	0.05425730412803112
1	0	0.00017000000000000007	0.00013000000000000002	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/otherRateRelFor_fdp_prod_inhib_g3p.txt"	0.14495798319327732
1	0	0.0005375872022286248	0.00013000000000000002	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/otherRateRelFor_fdp_prod_inhib_g3p.txt"	0.3075252527148365
1	0	0.0017000000000000008	0.00013000000000000002	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/otherRateRelFor_fdp_prod_inhib_g3p.txt"	0.4765193370165746
1	0	0.000017000000000000007	0.00026000000000000003	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/otherRateRelFor_fdp_prod_inhib_g3p.txt"	0.010121754437435824
1	0	0.00005375872022286247	0.00026000000000000003	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/otherRateRelFor_fdp_prod_inhib_g3p.txt"	0.030581863846891433
1	0	0.00017000000000000007	0.00026000000000000003	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/otherRateRelFor_fdp_prod_inhib_g3p.txt"	0.08476658476658477
1	0	0.0005375872022286248	0.00026000000000000003	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/otherRateRelFor_fdp_prod_inhib_g3p.txt"	0.1927783983056278
1	0	0.0017000000000000008	0.00026000000000000003	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/otherRateRelFor_fdp_prod_inhib_g3p.txt"	0.32288254562470753
